strongs	word	brief_definition	full_definition
G2652	κατάθεμα, ατος, τό	a curse, an accursed thing	a curse, an accursed thing.
G2653	καταθεματίζω	I curse, devote to destruction	I curse, devote to destruction.
G2654	καταναλίσκω	I consume utterly	I use up, spend, consume (as with fire).
G2655	καταναρκάω	I burden, encumber	(properly a medical term: I stupefy, hence) I burden, encumber.
G2656	κατανεύω	I nod, make a sign	I nod, make a sign, beckon.
G2657	κατανοέω	I understand, perceive, consider	I take note of, perceive, consider carefully, discern, detect, make account of.
G2658	καταντάω	I come down, arrive at, reach	(a) I come down, either from high land to lower (or actually to the sea-coast), or from the high seas to the coast; hence met: I arrive at, reach (my destination), (b) of property: I come down (descend) by inheritance to an heir.
G2659	κατάνυξις, εως, ἡ	deep sleep, stupor	deep sleep, torpor, insensibility, stupor.
G2660	κατανύσσομαι	I am pierced, stung	met: I am pierced, stung, smitten.
G2661	καταξιόω	I deem worthy	I deem (count) worthy.
G2662	καταπατέω	I trample under foot	I trample down, trample under foot (lit. and met.), spurn.
G2663	κατάπαυσις, εως, ἡ	resting, rest	(in the Old Testament of the rest attained by the settlement in Canaan), resting, rest, dwelling, habitation.
G2664	καταπαύω	I rest, cause to rest	(a) trans: I cause to rest, bring to rest; I cause to refrain, (b) intrans: I rest.
G2665	καταπέτασμα, ατος, τό	a veil, curtain	(lit: that which is spread out downwards, that which hangs down), a curtain, veil, of that which separated the Holy of Holies from the outer parts of the temple at Jerusalem, also of an outer curtain at the entrance to the Holy Place in the same temple.
G2666	καταπίνω	I swallow, devour, destroy	I drink down, swallow, devour, destroy, consume.
G2667	καταπίπτω	I fall down	I fall down, fall prostrate.
G2668	καταπλέω	I sail down	I sail down (from the high seas to the shore).
G2669	καταπονέω	I ill-treat	I exhaust by labor or suffering, wear out, overpower, oppress.
G2670	καταποντίζω	I sink in the sea, am drowned	I sink in the sea, pass: I drown, am submerged.
G2671	κατάρα, ας, ἡ	a curse, cursing	cursing; a curse; meton: a doomed one.
G2672	καταράομαι	I curse	I curse.
G2673	καταργέω	I bring to naught, sever, abolish	(a) I make idle (inactive), make of no effect, annul, abolish, bring to naught, (b) I discharge, sever, separate from.
G2674	καταριθμέω	I number among	I number among, count with.
G2675	καταρτίζω	I fit together, prepare	(a) I fit (join) together; met: I compact together, (b) act. and mid: I prepare, perfect, for his (its) full destination or use, bring into its proper condition (whether for the first time, or after a lapse).
G2676	κατάρτισις, εως, ἡ	a perfecting	a perfecting, making fit.
G2677	καταρτισμός, ου, ὁ	a perfecting	a bringing to a condition of fitness, perfecting.
G2678	κατασείω	I shake, wave, beckon	I shake (the hand) up and down, wave; intrans: I beckon for silence.
G2679	κατασκάπτω	I dig down under, demolish	I dig down under, demolish, undermine.
G2680	κατασκευάζω	I build, prepare, make	I build, construct, prepare, make ready.
G2681	κατασκηνόω	I encamp, tabernacle, dwell	I encamp, take up my quarters, tabernacle, pitch my tent, dwell.
G2682	κατασκήνωσις, εως, ἡ	a dwelling-place	a dwelling-place.
G2683	κατασκιάζω	I overshadow	I overshadow.
G2684	κατασκοπέω	I spy out, plot against	I view closely, inspect, spy out.
G2685	κατάσκοπος, ου, ὁ	a spy	a spy, scout.
G2686	κατασοφίζομαι	I circumvent by trickery	I deal craftily with, outwit.
G2687	καταστέλλω	I appease, restrain	I let down, lower; I keep down, restrain, pacify.
G2688	κατάστημα, ατος, τό	behavior, conduct	behavior, conduct, deportment, demeanor.
G2689	καταστολή, ῆς, ἡ	garb, dress, attire	garb, clothing, dress, attire.
G2690	καταστρέφω	I overturn, overthrow	I overturn, overthrow.
G2691	καταστρηνιάω	I grow wanton towards	I grow wanton towards.
G2692	καταστροφή, ῆς, ἡ	overthrow, destruction	overthrow, destruction, material or spiritual.
G2693	καταστρώννυμι	I scatter on the ground	I strew or spread over; I lay low, overthrow.
G2694	κατασύρω	I drag down	I pull down, drag away.
G2695	κατασφάζω	I slaughter	I slaughter, kill off, slay.
G2696	κατασφραγίζω	I seal and thus close	I seal up, secure with a seal.
G2697	κατάσχεσις, εως, ἡ	a possession	a possession, holding fast.
G2698	κατατίθημι	I lay down, deposit	(a) I lay down, deposit, (b) mid: I lay down or deposit a favor, with the view of receiving one in return, seek favor.
G2699	κατατομή, ῆς, ἡ	a mutilation, spoiling	a mutilation, spoiling.
G2701	κατατρέχω	I run down	I run down.
G2702	καταφέρω	I bring down, oppress	I bear down, overpower; I give a vote or verdict, bring charges.
G2703	καταφεύγω	I flee for refuge	I flee for refuge (implying that the refuge is reached); aor. indicates moment of arrival.
G2704	καταφθείρω	I destroy, corrupt	I destroy, corrupt.
G2705	καταφιλέω	I kiss affectionately	I kiss affectionately.
G2706	καταφρονέω	I despise, scorn	I despise, scorn, and show it by active insult, disregard.
G2707	καταφρονητής, οῦ, ὁ	a despiser	a despiser, scorner.
G2708	καταχέω	I pour over	I pour (down) upon.
G2709	καταχθόνιος, ον	under the earth, subterranean	under the earth, subterranean, infernal.
G2710	καταχράομαι	I use up	I use to the full, use up.
G2711	καταψύχω	I cool, refresh	I cool, refresh.
G2712	κατείδωλος, ον	full of images of idols	full of images of idols, grossly idolatrous.
G2713	κατέναντι	opposite, in front of	opposite, in front (of), over against.
G2714	κατενώπιον	before the face of	before the face of, over against.
G2715	κατεξουσιάζω	I have power over	I have (exercise) power (authority) over.
G2716	κατεργάζομαι	I work out, produce, accomplish	I effect by labor, achieve, work out, bring about.
G2718	κατέρχομαι	I come down	I come down from sky to earth, or from high land to lower land (or to the coast), or from the high seas to the shore.
G2719	κατεσθίω	I eat till it is finished	I eat up, eat till it is finished, devour, squander, annoy, injure.
G2720	κατευθύνω	I make straight, direct	(a) I make straight, (b) met: I put in the right way, direct.
G2721	κατεφίστημι	I rush, assault	I rush, assault, rise up against.
G2722	κατέχω	I hold fast, bind, restrain	(a) I hold fast, bind, arrest, (b) I take possession of, lay hold of, (c) I hold back, detain, restrain, (d) I hold a ship, keep its head.
G2723	κατηγορέω	I accuse, charge, prosecute	I accuse, charge, prosecute.
G2724	κατηγορία, ας, ἡ	a charge, accusation	an accusation, charge.
G2725	κατήγορος, ου, ὁ	a prosecutor, accuser	an accuser, prosecutor.
G2726	κατήφεια, ας, ἡ	a downcast countenance, gloom, dejection	a downcast countenance as a sign of sorrow, gloominess, gloom, dejection.
G2727	κατηχέω	I instruct orally	I instruct orally, teach, inform.
G2728	κατιόω	I rust	I rust; pass: I am rusted, tarnished.
G2729	κατισχύω	I prevail against, overpower, am able	I prevail against, overpower, get the upper hand.
G2730	κατοικέω	I dwell in, settle in, inhabit	I dwell in, settle in, am established in (permanently), inhabit.
G2731	κατοίκησις, εως, ἡ	dwelling, abode, habitation	a dwelling, abode, habitation.
G2732	κατοικητήριον, ου, τό	a habitation, dwelling-place	a habitation, dwelling-place, abode.
G2733	κατοικία, ας, ἡ	a dwelling, habitation	a dwelling, habitation, settlement.
G2734	κατοπτρίζομαι	I mirror, reflect	I mirror, reflect.
G2735	κατόρθωμα, ατος, τό	anything happily and successfully accomplished	anything happily and successfully accomplished, a beneficial and worthy deed.
G2736	κάτω	down, below, lower, under, less	(a) down, below, also: downwards, (b) lower, under, less, of a length of time.
G2737	κατώτερος, α, ον	lower	lower.
G2738	καῦμα, ατος, τό	burning heat, heat	burning heat, heat.
G2739	καυματίζω	I burn, scorch	I burn, scorch.
G2740	καῦσις, εως, ἡ	a burning up	a burning up, being burned.
G2741	καυσόω	I burn up	I burn with great heat.
G2742	καύσων, ῶνος, ὁ	a scorching heat, hot wind	a scorching heat, hot wind.
G2743	καυτηριάζω	I cauterize, sear	I cauterize, burn with a hot iron; hence met: I sear.
G2744	καυχάομαι	I boast, glory	I boast; I glory (exult) proudly.
G2745	καύχημα, ατος, τό	a boasting	a boasting; a ground of boasting (glorying, exultation).
G2746	καύχησις, εως, ἡ	the act of boasting, exultation	the act of boasting, glorying, exultation.
G2747	Κεγχρεαί, ας, ἡ	Cenchreae	Cenchreae, the port of Corinth on the Saronic Gulf.
G2748	Κεδρών, ὁ	Kidron	Kidron, a valley near Jerusalem.
G2749	κεῖμαι	I lie, recline, am laid	I lie, recline, am placed, am laid, set, specially appointed, destined.
G2750	κειρία, ας, ἡ	a bandage, grave clothes	a kind of girdle made of cords; a bandage, grave clothes.
G2751	κείρω	I shear, cut the hair of	I shear, cut the hair of; mid: I cut my own hair, have my hair cut.
G2752	κέλευσμα, ατος, τό	a word of command, a call	a word of command, a call, an arousing outcry.
G2753	κελεύω	I command, order	I command, order, direct, bid.
G2754	κενοδοξία, ας, ἡ	vainglory, empty pride	vainglory, empty pride.
G2755	κενόδοξας, ον	vainglorious	vainglorious, boastful.
G2756	κενός, ή, όν	empty, vain, hollow	(a) empty, (b) met: empty (in moral content), vain, ineffective, foolish, worthless, (c) false, unreal, pretentious, hollow.
G2757	κενοφωνία, ας, ἡ	empty disputing, worthless babble	empty disputing, worthless babble.
G2758	κενόω	I empty, deprive of content, make unreal	(a) I empty, (b) I deprive of content, make unreal.
G2759	κέντρον, ου, τό	a sting, goad	a sting, goad; met: of death.
G2760	κεντυρίων, ῶνος, ὁ	a centurion	a centurion, an officer commanding about a hundred infantry in the Roman army.
G2761	κενῶς	falsely, in vain	falsely, in vain, to no purpose.
G2762	κεραία, ας, ἡ	an apostrophe	a little hook, an apostrophe on letters of the alphabet, distinguishing them from other little letters, or a separation stroke between letters.
G2763	κεραμεύς, έως, ὁ	a potter	a potter.
G2764	κεραμικός, ή, όν	of clay, made by a potter	of clay, made by a potter, earthen.
G2765	κεράμιον, ου, τό	a pitcher, earthen vessel	a pitcher, earthen vessel, jar.
G2766	κέραμος, ου, ὁ	a tile, the roof	a tile; practically: the roof.
G2767	κεράννυμι	I mix, pour out for drinking	I mix, mingle, pour out for drinking.
G2768	κέρας, ατος, τό	a horn	(a) a horn, (b) a horn-like projection at the corner of an altar, (c) a horn as a symbol of power.
G2769	κεράτιον, ου, τό	a husk of the carob	a husk (pod) of the carob.
G2770	κερδαίνω	I gain, win, avoid loss	I gain, acquire, win (over), avoid loss.
G2771	κέρδος, ους, τό	gain, advantage	gain, advantage, profit.
G2772	κέρμα, ατος, τό	a small coin	a small coin; plur: small change.
G2773	κερματιστής, οῦ, ὁ	a money-changer	properly: a changer of large into smaller coins, a money-changer.
G2774	κεφάλαιον, ου, τό	the chief matter, a sum of money	(a) the chief matter, the main point, (b) a sum of money.
G2775	κεφαλαιόω	I wound in the head	I wound in the head.
G2776	κεφαλή, ῆς, ἡ	the head	(a) the head, (b) met: a corner stone, uniting two walls; head, ruler, lord.
G2777	κεφαλίς, ίδος, ἡ	a roll, volume	(lit: little head, then: the knob at the end of the wooden core of a roll of papyrus, then) a roll, volume, division (of a book).
G2778	κῆνσος, ου, ὁ	a poll-tax	a poll-tax.
G2779	κῆπος, ου, ὁ	a garden	a garden, any place planted with trees and herbs.
G2780	κηπουρός, οῦ, ὁ	a gardener	a gardener, garden-keeper.
G2781	κηρίον, ου, τό	a honeycomb	a honeycomb.
G2782	κήρυγμα, ατος, τό	a proclamation, preaching	a proclamation, preaching.
G2783	κῆρυξ, υκος, ὁ	a herald, preacher	a herald, preacher, proclaimer.
G2784	κηρύσσω	I proclaim, herald, preach	I proclaim, herald, preach.
G2785	κῆτος, ους, τό	a sea monster, huge fish	a sea monster, huge sea fish, whale.
G2786	Κηφᾶς, ᾶ, ὁ	Cephas	Cephas (Aramaic for rock), the new name given to Simon Peter, the apostle.
G2787	κιβωτός, οῦ, ἡ	an ark	(properly: a wooden box, hence) the Ark, in which Noah sailed; the Ark of the Covenant.
G2788	κιθάρα, ας, ἡ	a harp	a harp, lyre.
G2789	κιθαρίζω	I play on the harp	intrans. and trans: I play on the harp, I harp, with acc. of the tune.
G2790	κιθαρῳδός, ου, ὁ	a harpist	a harpist, one who sings with harp as accompaniment.
G2791	Κιλικία, ας, ἡ	Cilicia	Cilicia, a Roman province between the Taurus range of mountains and the coast in the south-east corner of Asia Minor, linked up with the province of Syria.
G2792	κινάμωμον, ου, τό	cinnamon	(a Semitic word) cinnamon.
G2793	κινδυνεύω	I am in danger	I am in danger or peril.
G2794	κίνδυνος, ου, ὁ	danger, peril, risk	danger, peril, risk.
G2795	κινέω	I move, stir, excite	I set in motion, move, remove, excite, stir up.
G2796	κίνησις, εως, ἡ	a moving, stirring	a moving, stirring.
G2797	Κίς, ὁ	Kish	Kish, the father of Saul.
G2798	κλάδος, ου, ὁ	a branch	a young tender shoot, then: a branch; met: of descendants.
G2799	κλαίω	I weep, weep for, mourn	I weep, weep for, mourn, lament.
G2800	κλάσις, εως, ἡ	a breaking	a breaking.
G2801	κλάσμα, ατος, τό	a fragment	a fragment, broken piece.
G2802	Κλαῦδη, ης, ἡ	Cauda, Clauda	Cauda, Clauda, an island twenty-three miles south of the western end of Crete.
G2803	Κλαυδία, ας, ἡ	Claudia	Claudia, a Christian woman in Rome; probably a freedwoman of the imperial household.
G2804	Κλαύδιος, ου, ὁ	Claudius	(a) Claudius, the fourth of the Roman Emperors, Tiberius Claudius Caesar Augustus Germanicus, who ruled A.D. 41-54, (b) Claudius Lysias, a tribune at Jerusalem.
G2805	κλαυθμός, οῦ, ὁ	weeping, lamentation	weeping, lamentation, crying.
