strongs	word	transliteration	pronunciation	part_of_speech	language	derivation	definition	kjv_usage
H4052	מִגְרָעָה	migrâʻâh	mig-raw-aw'	n-f	heb	from 1639;	a ledge or offset	narrowed rest.
H4053	מִגְרָפָה	migrâphâh	mig-raw-faw'	n-f	heb	from 1640;	something thrown off (by the spade), i.e. a clod	clod.
H4054	מִגְרָשׁ	migrâsh	mig-rawsh'	n-m	heb	also (in plural) feminine (Ezekiel 27:28) מִגְרָשָׁה; from 1644;	a suburb (i.e. open country whither flocks are driven from pasture); hence, the area around a building, or the margin of the sea	cast out, suburb.
H4055	מַד	mad	mad	n-m	heb	or מֵד; from 4058;	properly, extent, i.e. height; also a measure; by implication, a vesture (as measured); also a carpet	armour, clothes, garment, judgment, measure, raiment, stature.
H4056	מַדְבַּח	madbach	mad-bakh'	n-m	arc	(Aramaic) from 1684;	a sacrificial altar	altar.
H4057	מִדְבָּר	midbâr	mid-bawr'	n-m	heb	from 1696 in the sense of driving;	a pasture (i.e. open field, whither cattle are driven); by implication, a desert; also speech (including its organs)	desert, south, speech, wilderness.
H4058	מָדַד	mâdad	maw-dad'	v	heb	a primitive root;	properly, to stretch; by implication, to measure (as if by stretching a line); figuratively, to be extended	measure, mete, stretch self.
H4059	מִדַּד	middad	mid-dad'	v	heb	from 5074;	flight	be gone.
H4060	מִדָּה	middâh	mid-daw'	n-f	heb	feminine of 4055;	properly, extension, i.e. height or breadth; also a measure (including its standard); hence a portion (as measured) or a vestment; specifically, tribute (as measured)	garment, measure(-ing, meteyard, piece, size, (great) stature, tribute, wide.
H4061	מִדָּה	middâh	mid-daw'	n-f	arc	(Aramaic) or מִנְדָּה; (Aramaic), corresponding to 4060;	tribute in money	toll, tribute.
H4062	מַדְהֵבָה	madhêbâh	mad-hay-baw'	n-f	heb	perhaps from the equivalent of 1722;	goldmaking, i.e. exactness	golden city.
H4063	מֶדֶו	medev	meh'-dev	n-m	heb	from an unused root meaning to stretch;	properly, extent, i.e. measure; by implication, a dress (as measured)	garment.
H4064	מַדְוֶה	madveh	mad-veh'	n-m	heb	from 1738;	sickness	disease.
H4065	מַדּוּחַ	maddûwach	mad-doo'akh	n-m	heb	from 5080;	seduction	cause of banishment.
H4066	מָדוֹן	mâdôwn	maw-dohn'	n-m	heb	from 1777;	a contest or quarrel	brawling, contention(-ous), discord, strife. Compare 4079, 4090.
H4067	מָדוֹן	mâdôwn	maw-dohn'	n-m	heb	from the same as 4063;	extensiveness, i.e. height	stature.
H4068	מָדוֹן	Mâdôwn	maw-dohn'	n-pr-loc	x-pn	the same as 4067;	Madon, a place in Palestine	Madon.
H4069	מַדּוּעַ	maddûwaʻ	mad-doo'-ah	adv	heb	or מַדֻּעַ; from 4100 and the passive participle of 3045;	what (is) known?; i.e. (by implication) (adverbially) why?	how, wherefore, why.
H4070	מְדוֹר	mᵉdôwr	med-ore'	n-m	arc	(Aramaic) or מְדֹר; (Aramaic), or מְדָר; (Aramaic), from 1753;	a dwelling	dwelling.
H4071	מְדוּרָה	mᵉdûwrâh	med-oo-raw'	n-f	heb	or מְדֻרָה; from 1752 in the sense of accumulation;	a pile of fuel	pile (for fire).
H4072	מִדְחֶה	midcheh	mid-kheh'	n-m	heb	from 1760;	overthrow	ruin.
H4073	מְדַחְפָה	mᵉdachphâh	med-akh-faw'	n-f	heb	from 1765;	a push, i.e. ruin	overthrow.
H4074	מָדַי	Mâday	maw-dah'-ee	n-pr-m n-pr-loc	x-pn	of foreign derivation;	Madai, a country of central Asia	Madai, Medes, Media.
H4075	מָדַי	Mâday	maw-dah'-ee	a	x-pn	patrial from 4074;	a Madian or native of Madai	Mede.
H4076	מָדַי	Mâday	maw-dah'-ee	n-pr-m n-pr-loc	arc	(Aramaic) corresponding to 4074		Mede(-s).
H4077	מָדַי	Mâday	maw-dah'-ee	n-pr-m	arc	(Aramaic) corresponding to 4075		Median.
H4078	מַדַּי	madday	mad-dah'-ee	adv	heb	from 4100 and 1767;	what (is) enough, i.e. sufficiently	sufficiently.
H4079	מִדְיָן	midyân	mid-yawn'	n-m	heb	a variation for 4066		brawling, contention(-ous).
H4080	מִדְיָן	Midyân	mid-yawn'	n-pr-m n-pr-loc	x-pn	the same as 4079;	Midjan, a son of Abraham; also his country and (collectively) his descendants	Midian, Midianite.
H4081	מִדִּין	Middîyn	mid-deen'	n-pr-loc	heb	a variation for 4080		Middin.
H4082	מְדִינָה	mᵉdîynâh	med-ee-naw'	n-f	heb	from 1777;	properly, a judgeship, i.e. jurisdiction; by implication, a district (as ruled by a judge); generally, a region	(× every) province.
H4083	מְדִינָה	mᵉdîynâh	med-ee-naw'	n-f	arc	(Aramaic) corresponding to 4082		province.
H4084	מִדְיָנִי	Midyânîy	mid-yaw-nee'	a	x-pn	patronymical or patrial from 4080;	a Midjanite or descendant (native) of Midjan	Midianite. Compare 4092.
H4085	מְדֹכָה	mᵉdôkâh	med-o-kaw'	n-f	heb	from 1743;	a mortar	mortar.
H4086	מַדְמֵן	Madmên	mad-mane'	n-pr-loc	x-pn	from the same as 1828; dunghill;	Madmen, a place in Palestine	Madmen.
H4087	מַדְמֵנָה	madmênâh	mad-may-naw'	n-f	heb	feminine from the same as 1828;	a dunghill	dunghill.
H4088	מַדְמֵנָה	Madmênâh	mad-may-naw'	n-pr-loc	x-pn	the same as 4087;	Madmenah, a place in Palestine	Madmenah.
H4089	מַדְמַנָּה	Madmannâh	mad-man-naw'	n-pr-m n-pr-loc	x-pn	a variation for 4087;	Madmannah, a place in Palestine	Madmannah.
H4090	מְדָן	mᵉdân	med-awn'	n-m	heb	a form of 4066		discord, strife.
H4091	מְדָן	Mᵉdân	med-awn'	n-pr-m	x-pn	the same as 4090;	Medan, a son of Abraham	Medan.
H4092	מְדָנִי	Mᵉdânîy	med-aw-nee'	a	heb	a variation of 4084		Midianite.
H4093	מַדָּע	maddâʻ	mad-daw'	n-m	heb	or מַדַּע; from 3045;	intelligence or consciousness	knowledge, science, thought.
H4094	מַדְקָרָה	madqârâh	mad-kaw-raw'	n-f	heb	from 1856;	a wound	piercing.
H4095	מַדְרֵגָה	madrêgâh	mad-ray-gaw'	n-f	heb	from an unused root meaning to step;	properly, a step; by implication, a steep or inaccessible place	stair, steep place.
H4096	מִדְרָךְ	midrâk	mid-rawk'	n-m	heb	from 1869;	a treading, i.e. a place for stepping on	(foot-) breadth.
H4097	מִדְרָשׁ	midrâsh	mid-rawsh'	n-m	heb	from 1875;	properly, an investigation, i.e. (by implication) a treatise or elaborate compilation	story.
H4098	מְדֻשָּׁה	mᵉdushshâh	med-oosh-shaw'	n-f	heb	from 1758;	a threshing, i.e. (concretely and figuratively) down-trodden people	threshing.
H4099	מְדָתָא	Mᵉdâthâʼ	med-aw-thaw'	n-pr-m	x-pn	of Persian origin;	Medatha, the father of Haman	Hammedatha (including the article).
H4100	מָה	mâh	maw	i	heb	or מַה; or מָ; or מַ; also מֶה; a primitive particle;	properly, interrogative what? (including how? why? when?); but also exclamation, what! (including how!), or indefinitely what (including whatever, and even relatively, that which); often used with prefixes in various adverbial or conjunctive senses	how (long, oft, (-soever)), (no-) thing, what (end, good, purpose, thing), whereby(-fore, -in, -to, -with), (for) why.
H4101	מָה	mâh	maw	i	arc	(Aramaic) corresponding to 4100		how great (mighty), that which, what(-soever), why.
H4102	מָהַהּ	mâhahh	maw-hah'	v	heb	apparently a denominative from 4100;	properly, to question or hesitate, i.e. (by implication) to be reluctant	delay, linger, stay selves, tarry.
H4103	מְהוּמָה	mᵉhûwmâh	meh-hoo-maw'	n-f	heb	from 1949;	confusion or uproar	destruction, discomfiture, trouble, tumult, vexation, vexed.
H4104	מְהוּמָן	Mᵉhûwmân	meh-hoo-mawn'	n-pr-m	x-pn	of Persian origin;	Mehuman, a eunuch of Xerxes	Mehuman.
H4105	מְהֵיטַבְאֵל	Mᵉhêyṭabʼêl	meh-hay-tab-ale'	n-pr-m n-pr-f	x-pn	from 3190 (augmented) and 410; bettered of God;	Mehetabel, the name of an Edomitish man and woman	Mehetabeel, Mehetabel.
H4106	מָהִיר	mâhîyr	maw-here'	a	heb	or מָהִר; from 4116;	quick; hence, skilful	diligent, hasty, ready.
H4107	מָהַל	mâhal	maw-hal'	v	heb	a primitive root;	properly, to cut down or reduce, i.e. by implication, to adulterate	mixed.
H4108	מַהְלֵךְ	mahlêk	mah-lake'	n-m	heb	from 1980;	a walking (plural collectively), i.e. access	place to walk.
H4109	מַהֲלָךְ	mahălâk	mah-hal-awk'	n-m	heb	from 1980;	a walk, i.e. a passage or a distance	journey, walk.
H4110	מַהֲלָל	mahălâl	mah-hal-awl'	n-m	heb	from 1984;	fame	praise.
H4111	מַהֲלַלְאֵל	Mahălalʼêl	mah-hal-al-ale'	n-pr-m	x-pn	from 4110 and 410; praise of God;	Mahalalel, the name of an antediluvian patriarch and of an Israelite	Mahalaleel.
H4112	מַהֲלֻמָּה	mahălummâh	mah-hal-oom-maw'	n-f	heb	from 1986;	a blow	stripe, stroke.
H4113	מַהֲמֹרָה	mahămôrâh	mah-ham-o-raw'	n-f	heb	from an unused root of uncertain meaning;	perhaps an abyss	deep pit.
H4114	מַהְפֵּכָה	mahpêkâh	mah-pay-kaw'	n-f	heb	from 2015;	a destruction	when...overthrew, overthrow(-n).
H4115	מַהְפֶּכֶת	mahpeketh	mah-peh'-keth	n-f	heb	from 2015;	a wrench, i.e. the stocks	prison, stocks.
H4116	מָהַר	mâhar	maw-har'	v	heb	a primitive root;	properly, to be liquid or flow easily, i.e. (by implication); to hurry (in a good or a bad sense); often used (with another verb) adverbially, promptly	be carried headlong, fearful, (cause to make, in, make) haste(-n, -ily), (be) hasty, (fetch, make ready) × quickly, rash, × shortly, (be so) × soon, make speed, × speedily, × straightway, × suddenly, swift.
H4117	מָהַר	mâhar	maw-har'	v	heb	a primitive root (perhaps rather the same as 4116 through the idea of readiness in assent);	to bargain (for a wife), i.e. to wed	endow, × surely.
H4118	מַהֵר	mahêr	mah-hare'	a adv	heb	from 4116;	properly, hurrying; hence (adverbially) in a hurry	hasteth, hastily, at once, quickly, soon, speedily, suddenly.
H4119	מֹהַר	môhar	mo'-har	n-m	heb	from 4117;	a price (for a wife)	dowry.
H4120	מְהֵרָה	mᵉhêrâh	meh-hay-raw'	n-f	heb	feminine of 4118;	properly, a hurry; hence (adverbially) promptly	hastily, quickly, shortly, soon, make (with) speed(-ily), swiftly.
H4121	מַהֲרַי	Mahăray	mah-har-ah'-ee	n-pr-m	x-pn	from 4116; hasty;	Maharai, an Israelite	Maharai.
H4122	מַהֵר שָׁלָל חָשׁ בַּז	Mahêr Shâlâl Châsh Baz	mah-hare' shaw-lawl' khawsh baz	n-pr-m	x-pn	from 4118 and 7998 and 2363 and 957; hasting (is he (the enemy) to the) booty, swift (to the) prey;	Maher-Shalal-Chash-Baz; the symbolical name of the son of Isaiah	Maher-sha-lal-bash-baz.
H4123	מַהֲתַלָּה	mahăthallâh	mah-hath-al-law'	n-f	heb	from 2048;	a delusion	deceit.
H4124	מוֹאָב	Môwʼâb	mo-awb	n-pr-m n-pr-loc	x-pn	from a prolonged form of the prepositional prefix m- and 1; from (her [the mother's]) father;	Moab, an incestuous son of Lot; also his territory and descendants	Moab.
H4125	מוֹאָבִי	Môwʼâbîy	mo-aw-bee'	a	x-pn	feminine מוֹאָבִיָּה; or מוֹאָבִיתxlit Môwâbîyth corrected to Môwʼâbîyth; patronymical from 4124;	a Moabite or Moabitess, i.e. a descendant from Moab	(woman) of Moab, Moabite(-ish, -ss).
H4126	מוֹבָא	môwbâʼ	mo-baw'	n-m	heb	by transp. for 3996;	an entrance	coming.
H4127	מוּג	mûwg	moog	v	heb	a primitive root;	to melt, i.e. literally (to soften, flow down, disappear), or figuratively (to fear, faint)	consume, dissolve, (be) faint(-hearted), melt (away), make soft.
H4128	מוּד	mûwd	mood	v	heb	a primitive root;	to shake	measure.
H4129	מוֹדַע	môwdaʻ	mo-dah'	n-m	heb	or rather מֹדָע; from 3045;	an acquaintance	kinswoman.
H4130	מוֹדַעַת	môwdaʻath	mo-dah'-ath	n-f	heb	from 3045;	acquaintance	kindred.
H4131	מוֹט	môwṭ	mote	v	heb	a primitive root;	to waver; by implication, to slip, shake, fall	be carried, cast, be out of course, be fallen in decay, × exceedingly, fall(-ing down), be (re-) moved, be ready, shake, slide, slip.
H4132	מוֹט	môwṭ	mote	n-m	heb	from 4131;	a wavering, i.e. fall; by implication, a pole (as shaking); hence, a yoke (as essentially a bent pole)	bar, be moved, staff, yoke.
H4133	מוֹטָה	môwṭâh	mo-taw'	n-f	heb	feminine of 4132;	a pole; by implication, an ox-bow; hence, a yoke (either literal or figurative)	bands, heavy, staves, yoke.
H4134	מוּךְ	mûwk	mook	v	heb	a primitive root;	to become thin, i.e. (figuratively) be impoverished	be (waxen) poor(-er).
H4135	מוּל	mûwl	mool	v	heb	a primitive root;	to cut short, i.e. curtail (specifically the prepuce, i.e. to circumcise); by implication, to blunt; figuratively, to destroy	circumcise(-ing), selves), cut down (in pieces), destroy, × must needs.
H4136	מוּל	mûwl	mool	n-m	heb	or מוֹל; (Deuteronomy 1:1), or מוֹאל; (Nehemiah 12:38), or מֻל; (Numbers 22:5), from 4135;	properly, abrupt, i.e. a precipice; by implication, the front; used only adverbially (with prepositional prefix) opposite	(over) against, before, (fore-) front, from, (God-) ward, toward, with.
H4137	מוֹלָדָה	Môwlâdâh	mo-law-daw'	n-pr-loc	x-pn	from 3205; birth;	Moladah, a place in Palestine	Moladah.
H4138	מוֹלֶדֶת	môwledeth	mo-leh'-deth	n-f	heb	from 3205;	nativity (plural birth-place); by implication, lineage, native country; also offspring, family	begotten, born, issue, kindred, native(-ity).
H4139	מוּלָה	mûwlâh	moo-law'	n-f	heb	from 4135;	circumcision	circumcision.
H4140	מוֹלִיד	Môwlîyd	mo-leed'	n-pr-m	x-pn	from 3205; genitor;	Molid, an Israelite	Molid.
H4141	מוּסָב	mûwçâb	moo-sawb'	n-m	heb	from 5437;	a turn, i.e. circuit (of a building)	winding about.
H4142	מוּסַבָּה	mûwçabbâh	moo-sab-baw'	a-f	heb	or מֻסַבָּה; feminine of 4141;	a reversal, i.e. the backside (of a gem), fold (of a double-leaved door), transmutation (of a name)	being changed, inclosed, be set, turning.
H4143	מוּסָד	mûwçâd	moo-sawd'	n-m	heb	from 3245;	a foundation	foundation.
H4144	מוֹסָד	môwçâd	mo-sawd'	n-m	heb	from 3245;	a foundation	foundation.
H4145	מוּסָדָה	mûwçâdâh	moo-saw-daw'	n-f	heb	feminine of 4143;	a foundation; figuratively, an appointment	foundation, grounded. Compare 4328.
H4146	מוֹסָדָה	môwçâdâh	mo-saw-daw'	n-f	heb	or מֹסָדָה; feminine of 4144;	a foundation	foundation.
H4147	מוֹסֵר	môwçêr	mo-sare'	n-m	heb	also (in plural) feminine מוֹסֵרָה; or מֹסְרָה; from 3256;	properly, chastisement, i.e. (by implication) a halter; figuratively, restraint	band, bond.
H4148	מוּסָר	mûwçâr	moo-sawr'	n-m	heb	from 3256;	properly, chastisement; figuratively, reproof, warning or instruction; also restraint	bond, chastening(-eth), chastisement, check, correction, discipline, doctrine, instruction, rebuke.
H4149	מוֹסֵרָה	Môwçêrâh	mo-say-raw'	n-pr-f	x-pn	or (plural) מֹסְרוֹת feminine of 4147; correction or corrections;	Moserah, a place in the Desert	Mosera.
H4150	מוֹעֵד	môwʻêd	mo-ade'	n-m	heb	or מֹעֵד; or (feminine) מוֹעָדָה; (2 Chronicles 8:13), from 3259;	properly, an appointment, i.e. a fixed time or season; specifically, a festival; conventionally a year; by implication, an assembly (as convened for a definite purpose); technically the congregation; by extension, the place of meeting; also a signal (as appointed beforehand)	appointed (sign, time), (place of, solemn) assembly, congregation, (set, solemn) feast, (appointed, due) season, solemn(-ity), synogogue, (set) time (appointed).
H4151	מוֹעָד	môwʻâd	mo-awd'	n-m	heb	from 3259; (as in 4150);	properly, an assembly figuratively, a troop	appointed time.
H4152	מוּעָדָה	mûwʻâdâh	moo-aw-daw'	n-f	heb	from 3259;	an appointed place, i.e. asylum	appointed.
H4153	מוֹעַדְיָה	Môwʻadyâh	mo-ad-yaw'	n-pr-m	x-pn	from 4151 and 3050; assembly of Jah;	Moadjah, an Israelite	Moadiah. Compare 4573.
H4154	מוּעֶדֶת	mûwʻedeth	moo-ay'-deth	n-f	heb	feminine passive participle of 4571;	properly, made to slip, i.e. dislocated	out of joint.
H4155	מוּעָף	mûwʻâph	moo-awf'	n-m	heb	from 5774;	properly, covered, i.e. dark; abstractly, obscurity, i.e. distress	dimness.
H4156	מוֹעֵצָה	môwʻêtsâh	mo-ay-tsaw'	n-f	heb	from 3289;	a purpose	counsel, device.
H4157	מוּעָקָה	mûwʻâqâh	moo-aw-kaw'	n-f	heb	from 5781;	pressure, i.e. (figuratively) distress	affliction.
H4158	מוֹפַעַת	Môwphaʻath	mo-fah'-ath	n-pr-loc	x-pn	(Jeremiah 48:21) or מֵיפַעַת; or מֵפַעַת; from 3313; illuminative;	Mophaath or Mephaath, a place in Palestine	Mephaath.
H4159	מוֹפֵת	môwphêth	mo-faith'	n-m	heb	or מֹפֵת; from 3302 in the sense of conspicuousness;	a miracle; by implication, a token or omen	miracle, sign, wonder(-ed at).
H4160	מוּץ	mûwts	moots	n-m	heb	a primitive root;	to press, i.e. (figuratively) to oppress	extortioner.
H4161	מוֹצָא	môwtsâʼ	mo-tsaw'	n-m	heb	or מֹצָאxlit môtsâ corrected to môtsâʼ; from 3318;	a going forth, i.e. (the act) an egress, or (the place) an exit; hence, a source or product; specifically, dawn, the rising of the sun (the East), exportation, utterance, a gate, a fountain, a mine, a meadow (as producing grass)	brought out, bud, that which came out, east, going forth, goings out, that which (thing that) is gone out, outgoing, proceeded out, spring, vein, (water-) course (springs).
H4162	מוֹצָא	môwtsâʼ	mo-tsaw'	n-pr-m	x-pn	the same as 4161;	Motsa, the name of two Israelites	Moza.
H4163	מוֹצָאָה	môwtsâʼâh	mo-tsaw-aw'	n-f	heb	feminine of 4161; (marg.; compare 6675)	a family descent; also a sewer	draught house; going forth.
H4164	מוּצַק	mûwtsaq	moo-tsak'	n-m	heb	or מוּצָק; from 3332;	narrowness; figuratively, distress	anguish, is straitened, straitness.
H4165	מוּצָק	mûwtsâq	moo-tsawk'	n-m	heb	from 5694;	properly, fusion, i.e. literally, a casting (of metal); figuratively, a mass (of clay)	casting, hardness.
H4166	מוּצָקָה	mûwtsâqâh	moo-tsaw-kaw'	n-f	heb	or מֻצָקָה; from 3332;	properly, something poured out, i.e. a casting (of metal); by implication, a tube (as cast)	when it was cast, pipe.
H4167	מוּק	mûwq	mook	v	heb	a primitive root;	to jeer, i.e. (intens.) blaspheme	be corrupt.
H4168	מוֹקֵד	môwqêd	mo-kade'	n-m	heb	from 3344;	a fire or fuel; abstractly, a conflagration	burning, hearth.
H4169	מוֹקְדָה	môwqᵉdâh	mo-ked-aw'	n-f	heb	feminine of 4168;	fuel	burning.
H4170	מוֹקֵשׁ	môwqêsh	mo-kashe'	n-m	heb	or מֹקֵשׁ; from 3369;	a noose (for catching animals) (literally or figuratively); by implication, a hook (for the nose)	be ensnared, gin, (is) snare(-d), trap.
H4171	מוּר	mûwr	moor	v	heb	a primitive root;	to alter; by implication, to barter, to dispose of	× at all, (ex-) change, remove.
H4172	מוֹרָא	môwrâʼ	mo-raw'	n-m	heb	or מֹרָא; or מוֹרָהxlit môrâh corrected to môwrâh; (Psalm 9:20), from 3372;	fear; by implication, a fearful thing or deed	dread, (that ought to be) fear(-ed), terribleness, terror.
H4173	מוֹרַג	môwrag	mo-rag'	n-m	heb	or מֹרַג; from an unused root meaning to triturate;	a threshing sledge	threshing instrument.
H4174	מוֹרָד	môwrâd	mo-rawd'	n-m	heb	from 3381;	a descent; as architecture, an ornamental appendage, perhaps a festoon	going down, steep place, thin work.
H4175	מוֹרֶה	môwreh	mo-reh'	n-m	heb	from 3384; (see 3138)	an archer; also teacher or teaching; also the early rain	(early) rain.
H4176	מוֹרֶה	Môwreh	mo-reh'	n-m	x-pn	or מֹרֶה; the same as 4175;	Moreh, a Canaanite; also a hill (perhaps named from him)	Moreh.
H4177	מוֹרָה	môwrâh	mo-raw'	n-m	heb	from 4171 in the sense of shearing;	a razor	razor.
H4178	מוֹרָט	môwrâṭ	mo-rawt'	v	heb	from 3399;	obstinate, i.e. independent	peeled.
H4179	מוֹרִיָּה	Môwrîyâh	mo-ree-yaw'	n-pr-loc	x-pn	or מֹרִיָּה; from 7200 and 3050; seen of Jah;	Morijah, a hill in Palestine	Moriah.
H4180	מוֹרָשׁ	môwrâsh	mo-rawsh'	n-m	heb	from 3423;	a possession; figuratively, delight	possession, thought.
H4181	מוֹרָשָׁה	môwrâshâh	mo-raw-shaw'	n-f	heb	feminine of 4180;	a possession	heritage, inheritance, possession.
H4182	מוֹרֶשֶׁת גַּת	Môwresheth Gath	mo-reh'-sheth gath	n-pr-loc	x-pn	from 3423 and 1661; possession of Gath;	Moresheth-Gath, a place in Palestine	Moresheth-gath.
